track_id,artist_id,release_date,genre_id,topic_1,topic_2,topic_3,feature_1,feature_2,feature_3
1,1,1950,1,"(15, 0.380298895230333)","(8, 0.2637508813174463)","(16, 0.1171754514230962)",acousticness,instrumentalness,loudness
2,2,1950,1,"(3, 0.4434351738186404)","(12, 0.2126810671851602)","(10, 0.1180338411682359)",acousticness,loudness,danceability
3,3,1950,1,"(10, 0.3237940521915833)","(8, 0.2506679099206141)","(16, 0.225422323308264)",acousticness,loudness,danceability
4,4,1950,1,"(7, 0.4115358246343062)","(15, 0.2258894842203273)","(11, 0.1292497848687442)",valence,loudness,energy
5,5,1950,1,"(7, 0.4634300948612802)","(3, 0.4177722727138843)","(15, 0.068800151628371)",acousticness,loudness,valence
6,6,1950,1,"(2, 0.4206846660518329)","(12, 0.1721731259860281)","(15, 0.1282918261528421)",acousticness,valence,danceability
7,7,1950,1,"(8, 0.3847028203575036)","(3, 0.3718167049375792)","(16, 0.1231498770060476)",loudness,energy,acousticness
8,8,1950,1,"(12, 0.3868866188357865)","(3, 0.336056481879689)","(7, 0.1768608110005607)",acousticness,loudness,danceability
9,9,1950,1,"(7, 0.4018011071559509)","(4, 0.2482727910418802)","(8, 0.1677832979623083)",acousticness,loudness,valence
10,9,1950,1,"(15, 0.630507349802192)","(11, 0.105751590295529)","(2, 0.1025478341787261)",acousticness,valence,danceability
11,10,1951,1,"(9, 0.7205565145482401)","(10, 0.0809876481270162)","(8, 0.0796645572755044)",acousticness,valence,danceability
12,11,1951,1,"(12, 0.4179382701779092)","(4, 0.3974904504511861)","(10, 0.09369901457013)",acousticness,loudness,danceability
13,2,1951,1,"(9, 0.4589837412093324)","(2, 0.2443580759245977)","(8, 0.1091289709585859)",acousticness,loudness,danceability
14,12,1951,1,"(15, 0.4454687961567132)","(10, 0.1733106182210936)","(3, 0.150690869353428)",acousticness,loudness,valence
15,13,1951,1,"(7, 0.3845678800840667)","(12, 0.2705065173874285)","(10, 0.1119224047407057)",valence,loudness,energy
